Timestamp,Platform,Project,Result,Seconds
1539621232,iOS,SAPConnect,finished,2573
1539620216,Android,SAP Events,finished,387
1539619832,Android,SAP Events,started,n/a
1539618658,iOS,SAPConnect,started,n/a
1539613745,Android,SAP Events,finished,211
1539613540,Android,SAP Events,started,n/a
1539583785,iOS,CES,finished,1415
1539582372,iOS,CES,started,n/a
1539468116,iOS,DXC,finished,3243
1539464874,iOS,DXC,started,n/a
1539378575,iOS,Twitch,finished,2467
1539376395,Android,SXSW GO,without,61
1539376336,Android,SXSW GO,started,n/a
1539376108,iOS,Twitch,started,n/a
1539375698,Android,SXSW GO,without,89
1539375612,Android,SXSW GO,started,n/a
1539375579,Build,n/a,failed,n/a
1539375573,Android,SXSW GO,started,n/a
1539375539,Build,n/a,failed,n/a
1539375534,Android,SXSW GO,started,n/a
1539370913,iOS,SXSWGo,started,n/a
1539369895,iOS,SXSWGo,started,n/a
1539367580,iOS,SXSWGo,started,n/a
1539367486,iOS,SXSWGo,started,n/a
1539367449,iOS,SXSWGo,started,n/a
1539365713,Android,HP Events,finished,133
1539365583,Android,HP Events,started,n/a
1539359945,iOS,SAPConnect,finished,2493
1539357453,iOS,SAPConnect,started,n/a
1539323721,iOS,SXSWGo,finished,3122
1539320599,iOS,SXSWGo,started,n/a
1539303511,iOS,SXSWGo,started,n/a
1539300447,iOS,AutodeskUniversity,finished,1138
1539300343,Android,SXSW GO,finished,75
1539300267,Android,SXSW GO,started,n/a
1539299424,Android,SAP TechEd,finished,72
1539299353,Android,SAP TechEd,started,n/a
1539299309,iOS,AutodeskUniversity,started,n/a
1539299259,Android,SAP TechEd,finished,84
1539299177,Android,SAP TechEd,started,n/a
1539299069,Android,SXSW GO,finished,112
1539298956,Android,SXSW GO,started,n/a
1539294760,Android,SAP TechEd,finished,84
1539294678,Android,SAP TechEd,started,n/a
1539294622,Android,SAP TechEd,finished,152
1539294471,Android,SAP TechEd,started,n/a
1539293631,Android,DXC,finished,135
1539293498,Android,DXC,started,n/a
1539290053,iOS,Sundance,started,n/a
1539285154,iOS,AutodeskUniversity,finished,1274
1539284317,Android,AU Vegas,finished,463
1539283880,iOS,AutodeskUniversity,started,n/a
1539283860,Android,AU Vegas,started,n/a
1539268277,Android,SAP Events,finished,246
1539268034,Android,SAP Events,started,n/a
1539217218,iOS,Sundance,finished,1499
1539215719,iOS,Sundance,started,n/a
1539215129,iOS,ESRI,finished,2957
1539214288,iOS,Sundance,failed,n/a
1539214171,iOS,Sundance,started,n/a
1539213474,iOS,Sundance,failed,n/a
1539213397,iOS,Sundance,started,n/a
1539213068,iOS,Sundance,started,n/a
1539212997,Android,AU Vegas,finished,153
1539212995,iOS,Sundance,started,n/a
1539212955,iOS,Sundance,failed,n/a
1539212891,iOS,Sundance,started,n/a
1539212852,Android,AU Vegas,started,n/a
1539212632,Android,AU Vegas,finished,270
1539212367,Android,AU Vegas,started,n/a
1539212172,iOS,ESRI,started,n/a
1539211455,iOS,Sundance,failed,n/a
1539211432,iOS,ESRI,failed,n/a
1539211377,iOS,Sundance,started,n/a
1539210881,iOS,AutodeskUniversity,finished,1173
1539210879,iOS,Sundance,failed,n/a
1539210765,iOS,Sundance,started,n/a
1539210723,iOS,Sundance,started,n/a
1539210611,Android,Sundance 2019,finished,116
1539210542,iOS,ESRI,started,n/a
1539210496,Android,Sundance 2019,started,n/a
1539210210,iOS,ESRI,failed,n/a
1539210147,iOS,Sundance,started,n/a
1539210142,iOS,ESRI,started,n/a
1539210051,Android,Esri Events,finished,202
1539209850,Android,Esri Events,started,n/a
1539209708,iOS,AutodeskUniversity,started,n/a
1539208259,iOS,AutodeskUniversity,finished,1278
1539207784,Android,INCmty,finished,449
1539207338,Android,INCmty,started,n/a
1539206981,iOS,AutodeskUniversity,started,n/a
1539206398,Android,SXSW GO,finished,113
1539206383,iOS,AutodeskUniversity,started,n/a
1539206283,Android,SXSW GO,started,n/a
1539206155,iOS,AutodeskUniversity,started,n/a
1539205965,iOS,AutodeskUniversity,started,n/a
1539205568,iOS,AutodeskUniversity,started,n/a
1539204466,iOS,SXSWGo,finished,2860
1539201606,iOS,SXSWGo,started,n/a
1539196852,iOS,NVFF,finished,634
1539196219,iOS,NVFF,started,n/a
1539194512,iOS,NVFF,finished,698
1539193940,Android,SXSW GO,finished,108
1539193832,Android,SXSW GO,started,n/a
1539193815,iOS,NVFF,started,n/a
1539193802,Build,n/a,failed,n/a
1539193155,Android,SXSW GO,started,n/a
1539193146,iOS,NVFF,started,n/a
1539140223,iOS,CharlesSchwab,finished,978
1539139406,iOS,SageIntacct,finished,2368
1539139245,iOS,CharlesSchwab,started,n/a
1539137038,iOS,SageIntacct,started,n/a
1539137025,iOS,SageIntacct,started,n/a
1539136229,iOS,SageIntacct,finished,2716
1539133513,iOS,SageIntacct,started,n/a
1539133016,iOS,SXSWGo,finished,2237
1539132425,iOS,NVFF,failed,n/a
1539132004,Android,NVFF,finished,322
1539131683,Android,NVFF,started,n/a
1539131657,Build,n/a,failed,n/a
1539131585,Android,NVFF,started,n/a
1539131433,iOS,NVFF,started,n/a
1539131235,iOS,NVFF,started,n/a
1539130779,iOS,SXSWGo,started,n/a
1539125139,iOS,DXC,finished,2808
1539122709,iOS,Nutanix.NEXT,finished,1254
1539122331,iOS,DXC,started,n/a
1539121456,iOS,Nutanix.NEXT,started,n/a
1539121249,iOS,AAN2017,finished,2239
1539119010,iOS,AAN2017,started,n/a
1539116743,iOS,CDS,finished,4173
1539112571,iOS,CDS,started,n/a
1539112558,iOS,CDS,started,n/a
1539112510,iOS,CDS,started,n/a
1539112492,Android,IMPACT 2018,finished,172
1539112359,iOS,CDS,started,n/a
1539112322,Android,IMPACT 2018,started,n/a
